order_id,date,customer_id,customer_name,age,gender,region,category,product,quantity,unit_price,discount_pct,payment_method,order_status,rating,year,months,day
ORD00001,2023-11-24,CUST2419,Rahul,45,M,North,Books,Comics,4,1154.89,0,Credit Card,Delivered,3.2,2023,11,24
ORD00002,2023-03-06,CUST0027,Suresh,28,M,West,Sports,Dumbbells,1,2828.16,20,UPI,Pending,3.4,2023,3,6
ORD00003,2023-01-03,CUST0178,Suresh,64,M,West,Toys,RC Car,2,509.09,0,Debit Card,Delivered,3.4,2023,1,3
ORD00004,2023-08-15,CUST2709,Anita,32,F,East,Sports,Badminton Set,10,4432.99,10,Credit Card,Returned,1.3,2023,8,15
ORD00005,2022-08-03,CUST2800,Nikhil,59,M,North,Food,Dal 2kg,6,855.14,10,Debit Card,Returned,3.8,2022,8,3
ORD00006,2022-08-13,CUST0230,Vijay,32,M,North,Furniture,Bookshelf,5,4948.14,20,UPI,Cancelled,4.4,2022,8,13
ORD00007,2023-02-10,CUST0586,Anita,34,F,South,Clothing,Kurta,6,1102.5,15,Cash,Pending,3.6,2023,2,10
ORD00008,2023-06-06,CUST0450,Ritu,27,F,South,Furniture,Sofa,4,4986.76,5,Net Banking,Delivered,4.0,2023,6,6
ORD00009,2022-01-12,CUST2200,Divya,35,F,East,Sports,Yoga Mat,9,1294.5,20,Credit Card,Pending,1.5,2022,1,12
ORD00010,2023-06-04,CUST1223,Sneha,58,F,Central,Furniture,Chair,5,4860.85,5,Debit Card,Returned,4.5,2023,6,4
ORD00011,2022-01-01,CUST0459,Karan,41,M,East,Toys,Doll,9,4769.82,20,Cash,Delivered,3.0,2022,1,1
ORD00012,2022-05-09,CUST2252,Rohan,28,M,East,Electronics,Laptop,8,4089.32,20,Debit Card,Cancelled,2.9,2022,5,9
ORD00013,2023-03-25,CUST1016,Dev,32,M,North,Toys,Doll,5,2025.01,10,UPI,Delivered,2.8,2023,3,25
ORD00014,2022-08-23,CUST0129,Rohan,39,M,North,Clothing,T-Shirt,2,3553.81,0,Debit Card,Returned,0.0,2022,8,23
ORD00015,2023-08-14,CUST1668,Pooja,30,F,North,Clothing,Kurta,3,3630.6,20,Credit Card,Cancelled,4.1,2023,8,14
ORD00016,2022-03-04,CUST0448,Divya,33,F,South,Furniture,Bookshelf,1,3383.15,0,Cash,Cancelled,2.4,2022,3,4
ORD00017,2023-03-30,CUST0402,Nikhil,21,M,Central,Clothing,Jacket,8,1286.54,0,Credit Card,Delivered,4.4,2023,3,30
ORD00018,2022-03-02,CUST1600,Vijay,34,M,West,Furniture,Bookshelf,8,1108.05,15,UPI,Cancelled,1.0,2022,3,2
ORD00019,2023-07-10,CUST1285,Sneha,21,F,North,Clothing,Jacket,4,4845.11,20,Debit Card,Cancelled,0.0,2023,7,10
ORD00020,2023-11-23,CUST2334,Rahul,33,M,Central,Sports,Cricket Bat,3,389.18,0,Debit Card,Delivered,2.6,2023,11,23
ORD00021,2022-07-29,CUST1088,Nikhil,43,M,South,Books,Cookbook,10,2637.77,10,UPI,Cancelled,2.3,2022,7,29
ORD00022,2022-03-17,CUST0543,Anita,40,F,North,Electronics,Headphones,10,4992.35,0,Cash,Pending,3.0,2022,3,17
ORD00023,2022-01-09,CUST2718,Sneha,24,F,South,Furniture,Bed Frame,5,3077.8,20,UPI,Delivered,3.2,2022,1,9
ORD00024,2022-07-28,CUST2071,Dev,49,M,East,Clothing,Jacket,5,3043.91,10,Credit Card,Delivered,4.4,2022,7,28
ORD00025,2022-06-15,CUST1752,Meera,53,F,North,Electronics,Laptop,6,3867.04,10,Credit Card,Delivered,3.2,2022,6,15
ORD00026,2022-05-11,CUST1494,Dev,20,M,East,Electronics,Tablet,10,2785.0,15,Cash,Returned,0.0,2022,5,11
ORD00027,2022-08-31,CUST0726,Karan,44,M,North,Toys,Board Game,7,4870.49,5,Cash,Pending,4.9,2022,8,31
ORD00028,2023-04-27,CUST1886,Kavya,40,F,East,Food,Cooking Oil,2,1943.58,0,Cash,Returned,4.3,2023,4,27
ORD00029,2022-12-26,CUST2197,Suresh,39,M,North,Furniture,Sofa,5,4328.55,10,Credit Card,Pending,2.6,2022,12,26
ORD00030,2022-11-18,CUST0474,Rohan,42,M,Central,Food,Rice 5kg,2,3003.03,10,Cash,Pending,4.9,2022,11,18
ORD00031,2023-01-08,CUST1353,Nikhil,57,M,East,Electronics,Smartwatch,9,3449.94,5,Credit Card,Pending,4.8,2023,1,8
ORD00032,2023-03-07,CUST0713,Divya,57,F,Central,Food,Dal 2kg,5,2794.34,5,UPI,Cancelled,2.5,2023,3,7
ORD00033,2023-11-02,CUST2768,Ravi,31,M,Central,Food,Cooking Oil,7,3939.51,20,Net Banking,Returned,2.8,2023,11,2
ORD00034,2023-11-20,CUST0604,Ravi,19,M,North,Sports,Dumbbells,6,512.27,5,Cash,Cancelled,4.2,2023,11,20
ORD00035,2023-05-22,CUST2817,Arjun,18,M,North,Furniture,Bed Frame,4,3605.81,15,Net Banking,Returned,1.6,2023,5,22
ORD00036,2023-04-13,CUST2176,Dev,53,M,Central,Furniture,Chair,9,1283.53,0,UPI,Cancelled,2.9,2023,4,13
ORD00037,2023-10-15,CUST1985,Asha,58,F,South,Furniture,Table,8,2277.85,5,UPI,Cancelled,4.1,2023,10,15
ORD00038,2022-03-24,CUST2843,Ravi,27,M,South,Clothing,Jacket,6,1632.56,20,Credit Card,Cancelled,1.9,2022,3,24
ORD00039,2023-02-03,CUST2849,Nisha,19,F,Central,Sports,Yoga Mat,7,358.22,15,Net Banking,Cancelled,3.3,2023,2,3
ORD00040,2023-09-10,CUST1118,Karan,45,M,West,Food,Dal 2kg,7,2714.19,20,Credit Card,Cancelled,3.0,2023,9,10
ORD00041,2023-07-01,CUST1614,Divya,55,F,Central,Books,Textbook,8,4601.73,20,Credit Card,Delivered,0.0,2023,7,1
ORD00042,2022-12-02,CUST1553,Sneha,35,F,West,Toys,Puzzle,3,298.91,15,UPI,Delivered,2.3,2022,12,2
ORD00043,2022-08-18,CUST2670,Priya,20,F,North,Books,Cookbook,1,4999.54,10,Cash,Returned,4.1,2022,8,18
ORD00044,2023-08-01,CUST1050,Rohan,41,M,South,Clothing,Jeans,3,2394.13,0,Debit Card,Delivered,2.9,2023,8,1
ORD00045,2023-11-25,CUST2929,Ravi,30,M,North,Electronics,Smartwatch,1,4647.99,20,Debit Card,Returned,2.5,2023,11,25
ORD00046,2022-02-12,CUST1518,Ravi,22,M,Central,Toys,Board Game,2,3991.32,20,UPI,Delivered,2.7,2022,2,12
ORD00047,2023-12-26,CUST2138,Pooja,59,F,East,Electronics,Headphones,6,3196.15,15,Debit Card,Cancelled,1.7,2023,12,26
ORD00048,2022-03-30,CUST1904,Divya,54,F,Central,Toys,Board Game,5,1645.41,5,Net Banking,Pending,2.8,2022,3,30
ORD00049,2022-09-22,CUST2873,Arjun,35,M,Central,Toys,RC Car,3,2463.37,10,Credit Card,Returned,4.5,2022,9,22
ORD00050,2023-12-09,CUST1836,Suresh,19,M,North,Books,Self-Help,8,2798.12,5,UPI,Returned,3.8,2023,12,9
ORD00051,2022-12-19,CUST1355,Kavya,40,F,West,Food,Biscuits,6,2392.64,20,UPI,Pending,4.0,2022,12,19
ORD00052,2023-12-08,CUST1984,Kavya,35,F,Central,Electronics,Phone,6,641.8,20,Debit Card,Pending,1.9,2023,12,8
ORD00053,2023-12-27,CUST0224,Suresh,53,M,East,Food,Cooking Oil,6,938.24,0,Cash,Cancelled,2.1,2023,12,27
ORD00054,2022-07-08,CUST1957,Rahul,25,M,North,Sports,Badminton Set,8,2419.64,10,Net Banking,Cancelled,2.0,2022,7,8
ORD00055,2022-11-08,CUST1017,Rohan,25,M,Central,Books,Novel,3,788.53,20,Net Banking,Returned,0.0,2022,11,8
ORD00056,2023-08-06,CUST0407,Pooja,31,F,South,Furniture,Sofa,10,4950.65,10,UPI,Delivered,3.4,2023,8,6
ORD00057,2023-04-07,CUST0134,Suresh,32,M,East,Clothing,Kurta,2,824.84,15,UPI,Cancelled,2.9,2023,4,7
ORD00058,2022-08-19,CUST0583,Suresh,22,M,North,Food,Biscuits,4,2154.44,20,Cash,Pending,4.6,2022,8,19
ORD00059,2023-05-28,CUST2450,Pooja,20,F,West,Electronics,Headphones,5,3513.68,10,UPI,Pending,2.8,2023,5,28
ORD00060,2023-08-14,CUST0718,Amit,48,M,Central,Clothing,Kurta,10,4756.39,10,Net Banking,Pending,0.0,2023,8,14
ORD00061,2022-12-08,CUST0659,Rohan,39,M,West,Furniture,Bookshelf,2,2376.55,15,Net Banking,Pending,1.4,2022,12,8
ORD00062,2022-04-29,CUST2108,Asha,18,F,Central,Electronics,Headphones,2,1606.86,10,Net Banking,Cancelled,2.6,2022,4,29
ORD00063,2022-02-22,CUST1180,Suresh,46,M,West,Sports,Badminton Set,10,3794.39,15,Credit Card,Delivered,3.2,2022,2,22
ORD00064,2022-08-19,CUST1891,Vijay,25,M,South,Food,Biscuits,1,2783.64,0,Net Banking,Pending,4.7,2022,8,19
ORD00065,2022-05-29,CUST2082,Divya,65,F,South,Toys,Puzzle,8,1256.47,20,Credit Card,Pending,4.7,2022,5,29
ORD00066,2022-11-02,CUST2704,Nisha,49,F,South,Toys,Board Game,5,4111.72,10,Net Banking,Cancelled,3.3,2022,11,2
ORD00067,2022-07-13,CUST1569,Nisha,32,F,West,Sports,Dumbbells,7,2303.96,10,Credit Card,Pending,2.0,2022,7,13
ORD00068,2023-05-30,CUST0412,Divya,46,F,North,Furniture,Table,8,4825.88,5,Debit Card,Cancelled,2.3,2023,5,30
ORD00069,2022-12-13,CUST0329,Vijay,39,M,Central,Furniture,Table,2,2373.98,10,Net Banking,Pending,2.6,2022,12,13
ORD00070,2022-08-21,CUST0404,Asha,58,F,North,Electronics,Smartwatch,2,1212.11,10,Net Banking,Returned,2.7,2022,8,21
ORD00071,2023-03-18,CUST2319,Priya,61,F,South,Electronics,Tablet,1,1502.17,10,Cash,Returned,3.1,2023,3,18
ORD00072,2023-08-21,CUST1041,Rohan,47,M,East,Toys,Puzzle,10,3431.52,15,Credit Card,Cancelled,2.8,2023,8,21
ORD00073,2022-11-03,CUST1025,Asha,47,F,East,Clothing,T-Shirt,8,4728.92,20,Cash,Cancelled,2.7,2022,11,3
ORD00074,2023-12-18,CUST2697,Anita,43,F,East,Clothing,Saree,10,1826.85,10,Credit Card,Delivered,4.9,2023,12,18
ORD00075,2023-10-14,CUST2953,Meera,60,F,South,Toys,Doll,10,4019.56,5,Credit Card,Delivered,2.0,2023,10,14
ORD00076,2022-10-30,CUST0823,Pooja,26,F,Central,Electronics,Smartwatch,6,3675.18,0,UPI,Pending,2.7,2022,10,30
ORD00077,2022-04-28,CUST0925,Ravi,61,M,West,Toys,Puzzle,5,3745.47,10,Debit Card,Pending,1.3,2022,4,28
ORD00078,2023-11-20,CUST1561,Nikhil,58,M,East,Electronics,Tablet,9,661.76,10,Credit Card,Returned,2.0,2023,11,20
ORD00079,2023-10-26,CUST1902,Priya,62,F,East,Sports,Dumbbells,6,4580.52,5,Net Banking,Delivered,0.0,2023,10,26
ORD00080,2023-07-05,CUST2747,Rahul,65,M,Central,Electronics,Tablet,8,624.8,5,Net Banking,Returned,2.8,2023,7,5
ORD00081,2022-02-03,CUST1822,Anita,33,F,East,Toys,Puzzle,10,2070.17,10,Credit Card,Pending,1.9,2022,2,3
ORD00082,2022-04-04,CUST2446,Priya,19,F,North,Furniture,Sofa,4,4842.62,15,UPI,Returned,3.6,2022,4,4
ORD00083,2022-08-27,CUST2442,Rohan,18,M,East,Clothing,T-Shirt,9,1075.43,5,Cash,Returned,1.6,2022,8,27
ORD00084,2023-08-26,CUST0215,Sneha,26,F,West,Electronics,Laptop,3,123.56,5,Debit Card,Delivered,1.7,2023,8,26
ORD00085,2023-05-31,CUST2979,Arjun,60,M,Central,Furniture,Sofa,9,2988.65,15,UPI,Cancelled,3.5,2023,5,31
ORD00086,2023-12-31,CUST0331,Rahul,38,M,Central,Furniture,Bookshelf,7,3446.18,15,Cash,Delivered,1.3,2023,12,31
ORD00087,2023-09-04,CUST2480,Ravi,45,M,North,Sports,Dumbbells,9,3575.16,15,Credit Card,Returned,2.8,2023,9,4
ORD00088,2023-03-02,CUST1281,Pooja,60,F,East,Clothing,Saree,6,4145.73,15,UPI,Returned,2.3,2023,3,2
ORD00089,2022-05-14,CUST2301,Anita,53,F,East,Electronics,Laptop,2,2187.79,10,Credit Card,Cancelled,3.3,2022,5,14
